gene_id	seqnames	start	end	width	strand	symbol	ensembl_id
1	chr19	58858172	58874214	16043	-	A1BG	ENSG00000121410
10	chr8	18248755	18258723	9969	+	NAT2	ENSG00000156006
100	chr20	43248163	43280376	32214	-	ADA	ENSG00000196839
1000	chr18	25530930	25757445	226516	-	CDH2	ENSG00000170558
10000	chr1	243651535	244006886	355352	-	AKT3	ENSG00000275199
10000	chr1	243651535	244006886	355352	-	AKT3	ENSG00000117020
100008586	chrX	49217763	49233491	15729	+	GAGE12F	ENSG00000236362
100009676	chr3	101395274	101398057	2784	+	ZBTB11-AS1	ENSG00000256628
10001	chr14	71050957	71067384	16428	-	MED6	ENSG00000133997
10002	chr15	72102894	72110597	7704	+	NR2E3	ENSG00000278570
10003	chr11	89867818	89925779	57962	+	NAALAD2	ENSG00000285516
10003	chr11	89867818	89925779	57962	+	NAALAD2	ENSG00000077616
100033413	chr15	25296623	25296719	97	+	SNORD116-1	ENSG00000207063
100033414	chr15	25299356	25313030	13675	+	SNORD116-2	ENSG00000207001
100033415	chr15	25302006	25318349	16344	+	SNORD116-3	ENSG00000207014
100033416	chr15	25304684	25304781	98	+	SNORD116-4	ENSG00000275529
100033417	chr15	25307479	25307575	97	+	SNORD116-5	ENSG00000207191
100033420	chr15	25315578	25315674	97	+	SNORD116-8	ENSG00000207093
100033422	chr15	25319260	25319363	104	+	SNORD116-10	ENSG00000200661
100033423	chr15	25321075	25321168	94	+	SNORD116-11	ENSG00000206609
100033424	chr15	25322197	25322290	94	+	SNORD116-12	ENSG00000207197
100033425	chr15	25324204	25325381	1178	+	SNORD116-13	ENSG00000207137
100033427	chr15	25326433	25326526	94	+	SNORD116-15	ENSG00000207174
100033428	chr15	25327914	25328007	94	+	SNORD116-16	ENSG00000207263
100033430	chr15	25330531	25330624	94	+	SNORD116-18	ENSG00000206688
100033431	chr15	25332808	25334043	1236	+	SNORD116-20	ENSG00000278715
100033433	chr15	25335059	25335157	99	+	SNORD116-22	ENSG00000275127
100033434	chr15	25336932	25337025	94	+	SNORD116-23	ENSG00000207375
100033435	chr15	25339183	25339276	94	+	SNORD116-24	ENSG00000207279
100033436	chr15	25342809	25342902	94	+	SNORD116-25	ENSG00000252326
100033437	chr15	25417782	25417863	82	+	SNORD115-2	ENSG00000199712
100033438	chr15	25344645	25346814	2170	+	SNORD116-26	ENSG00000251815
100033440	chr15	25420074	25420155	82	+	SNORD115-3	ENSG00000199970
100033441	chr15	25421979	25422060	82	+	SNORD115-4	ENSG00000200680
100033442	chr15	25423885	25423966	82	+	SNORD115-5	ENSG00000200503
100033443	chr15	25425644	25425725	82	+	SNORD115-6	ENSG00000200812
100033444	chr15	25427532	25427613	82	+	SNORD115-7	ENSG00000278089
100033445	chr15	25429453	25429534	82	+	SNORD115-8	ENSG00000200726
100033446	chr15	25430778	25436644	5867	+	SNORD115-9	ENSG00000199782
100033447	chr15	25432683	25492573	59891	+	SNORD115-10	ENSG00000201943
100033448	chr15	25434561	25494426	59866	+	SNORD115-11	ENSG00000200486
100033450	chr15	25438468	25438549	82	+	SNORD115-13	ENSG00000273835
100033451	chr15	25440068	25440148	81	+	SNORD115-14	ENSG00000199960
100033454	chr15	25444595	25444676	82	+	SNORD115-16	ENSG00000200757
100033455	chr15	25446470	25449585	3116	+	SNORD115-17	ENSG00000201482
100033799	chr15	25455065	25455146	82	+	SNORD115-22	ENSG00000201326
100033801	chr15	25460688	25460769	82	+	SNORD115-25	ENSG00000199489
100033802	chr15	25463764	25463845	82	+	SNORD115-26	ENSG00000275524
100033804	chr15	25470350	25470431	82	+	SNORD115-30	ENSG00000200987
100033805	chr15	25472256	25472337	82	+	SNORD115-31	ENSG00000202188
100033806	chr15	25474114	25474195	82	+	SNORD115-32	ENSG00000200949
100033807	chr15	25475985	25476066	82	+	SNORD115-33	ENSG00000200593
100033809	chr15	25479394	25479475	82	+	SNORD115-35	ENSG00000201992
100033811	chr15	25483133	25483214	82	+	SNORD115-37	ENSG00000200638
100033812	chr15	25484985	25485066	82	+	SNORD115-38	ENSG00000201907
100033813	chr15	25486893	25486974	82	+	SNORD115-39	ENSG00000200564
100033814	chr15	25488761	25488842	82	+	SNORD115-40	ENSG00000272460
100033815	chr15	25490625	25490706	82	+	SNORD115-41	ENSG00000200478
100033818	chr15	25496006	25496087	82	+	SNORD115-44	ENSG00000202261
100033819	chr11	2017989	2018061	73	-	MIR675	ENSG00000284010
100033819	chr11	2017989	2018061	73	-	MIR675	ENSG00000288367
100033820	chr15	25349788	25349880	93	+	SNORD116-28	ENSG00000278123
100033821	chr15	25351667	25351751	85	+	SNORD116-29	ENSG00000207245
100033822	chr15	25514930	25515005	76	+	SNORD115-48	ENSG00000201634
100036563	chr15	25458806	25458876	71	+	SNORD115-24	ENSG00000200398
100036564	chr15	25465650	25465725	76	+	SNORD115-27	ENSG00000201300
100036565	chr15	25467501	25467574	74	+	SNORD115-28	ENSG00000200801
100037417	chr22	24309026	24314748	5723	+	DDTL	ENSG00000099974
100037417	chr22	24309026	24314748	5723	+	DDTL	ENSG00000275758
100037417	chr22	24309026	24314748	5723	+	DDTL	ENSG00000275003
100037417	chr22	24309026	24314748	5723	+	DDTL	ENSG00000099977
100038246	chr10	102849078	102890903	41826	-	TLX1NB	ENSG00000236311
10004	chr11	64812295	64826014	13720	-	NAALADL1	ENSG00000168060
100048912	chr9	21994790	22121093	126304	+	CDKN2B-AS1	ENSG00000240498
100049587	chr19	52145806	52150132	4327	-	SIGLEC14	ENSG00000254415
10005	chr20	44470360	44486048	15689	-	ACOT8	ENSG00000101473
10006	chr10	27035525	27150016	114492	-	ABI1	ENSG00000136754
